date,headline,link
2025-02-19,"Gas prices are headed higher, and a 'ripple effect' could make it worse in certain regions",https://finance.yahoo.com/news/gas-prices-are-headed-higher-and-a-ripple-effect-could-make-it-worse-in-certain-regions-164645500.html
2025-02-19,"Conan O’Brien’s Oscars Host Prep Includes ‘Invaluable’ Advice From Billy Crystal, Jimmy Kimmel",https://www.thewrap.com/conan-obrien-oscars-host-prep-billy-crystal-jimmy-kimmel/
2025-02-19,Automakers fear lower single digit growth in car sales in 2025-26,https://www.thehindubusinessline.com/companies/automakers-fear-lower-single-digit-growth-in-car-sales-in-2025-26/article69238864.ece
2025-02-19,Walmart expected to win over more high-income consumers as it reports fourth quarter results,https://finance.yahoo.com/news/walmart-expected-to-win-over-more-high-income-consumers-as-it-reports-fourth-quarter-results-163516678.html
2025-02-19,"Walmart posts Q4 profit beat as it gains high-income shoppers, but guides cautiously for 2025",https://finance.yahoo.com/news/walmart-posts-q4-profit-beat-as-it-gains-high-income-shoppers-but-guides-cautiously-for-2025-163516432.html
2025-02-19,Breakout Watch: Top Funds Bet On AI-Fueled Fintech Riding 205% Growth,https://www.investors.com/research/breakout-stocks-technical-analysis/intapp-stock-joins-2021-ipos-applovin-samsara-on-ibd-breakout-stocks-index/
2025-02-19,"Some eggs in NY are less than $4, others are $11. Here's how to navigate a chaotic market.",https://gothamist.com/arts-entertainment/some-eggs-in-ny-are-less-than-4-others-are-11-heres-how-to-navigate-a-chaotic-market
2025-02-19,Bumble shares slide 27% after weak forecast signals slow dating app turnaround,https://economictimes.indiatimes.com/markets/stocks/news/bumble-shares-slide-27-after-weak-forecast-signals-slow-dating-app-turnaround/articleshow/118393570.cms
2025-02-19,"Apple debuts iPhone 16e for $599, includes Apple Intelligence, Apple's first in-house modem",https://finance.yahoo.com/news/apple-debuts-iphone-16e-for-599-includes-apple-intelligence-apples-first-in-house-modem-160159160.html
2025-02-19,Reserve Bank governor Adrian Orr warns longer-term mortgage interest rates might not fall too much more,https://www.nzherald.co.nz/business/economy/official-cash-rate/reserve-bank-governor-adrian-orr-warns-longer-term-mortgage-interest-rates-might-not-fall-too-much-more/MTYFJNJ4ZRAQ7E3PE2HEAANRBI/
2025-02-19,Scandal-ridden Nikola — known for its electric semi-trucks — files for bankruptcy,https://nypost.com/2025/02/19/business/scandal-ridden-ev-maker-nikola-files-for-bankruptcy/
2025-02-19,"Nikola shares slump 38% after it goes bankrupt, to sell assets in latest EV market turmoil",https://economictimes.indiatimes.com/markets/stocks/news/nikola-shares-slump-38-after-it-goes-bankrupt-to-sell-assets-in-latest-ev-market-turmoil/articleshow/118393448.cms
2025-02-19,Show HN: Upload a stock trading chart get professional stock analysis instantly,https://www.chartgptai.com/
2025-02-19,Troubled electric truck maker Nikola files for bankruptcy,https://techcrunch.com/2025/02/19/troubled-electric-truck-maker-nikola-files-for-bankruptcy/
